01.10.2025                                                   Salida dinámica de lista                                                                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Cl.|Aviso    |Fecha     |Descripción                             |Equipo   |Ubicac.técnica  |DurParada|Aut.aviso   |Por     |Orden     |Fin desead|Texto código p. codificación           |
|X  M2 |154929966|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.13 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929965|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929860|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929859|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929851|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929850|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929849|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929848|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929847|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929846|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929845|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929844|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929668|18.08.2025|SE TRABAJA SOLO POR APILADOR 1          |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930152|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.07 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154968592|02.09.2025|FALLA EN RODILLOS MESA DE CADENAS 90 TRA|57036    |SA-APR-LCT2     |    0.10 |INTERFASEQNX|APAPHC  |          |03.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
